City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Naples,IT,40.83,14.25,60.8,55,75,5.82,broken clouds
84,Fasa,IR,28.94,53.65,53.6,100,90,2.13,overcast clouds
85,Leningradskiy,RU,69.38,178.42,15.94,93,100,8.23,overcast clouds
86,Upernavik,GL,72.79,-56.15,-0.11,72,100,6.24,overcast clouds
87,Aykhal,RU,66.0,111.5,3.2,84,0,2.24,clear sky
88,Roald,NO,62.58,6.13,44.6,65,20,11.41,few clouds
89,Mount Isa,AU,-20.73,139.5,77.0,47,0,5.82,clear sky
90,Laguna,US,38.42,-121.42,55.0,57,1,5.82,clear sky
91,Port Elizabeth,ZA,-33.92,25.57,64.4,93,90,4.7,overcast clouds
92,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,90,8.05,light snow
93,Lasa,IT,46.62,10.7,30.2,74,5,1.14,clear sky
94,Bandarbeyla,SO,9.49,50.81,76.53,78,6,16.33,clear sky
95,Dikson,RU,73.51,80.55,28.94,99,100,24.34,light snow
96,Hun,LY,29.13,15.95,66.34,29,0,9.37,clear sky
97,Nikolskoye,RU,59.7,30.79,32.0,94,90,8.95,overcast clouds
98,Antalaha,MG,-14.9,50.28,73.15,84,0,5.7,clear sky
99,Nobeoka,JP,32.58,131.67,30.99,83,0,5.99,clear sky
100,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,61,40,16.11,scattered clouds
101,Lorengau,PG,-2.02,147.27,82.33,79,100,8.86,light rain
102,Chokurdakh,RU,70.63,147.92,-7.64,92,100,6.38,overcast clouds
103,Udaipura,IN,23.08,78.5,61.16,53,53,4.47,broken clouds
104,Butaritari,KI,3.07,172.79,81.72,82,6,17.2,light rain
105,Codrington,AU,-38.27,141.97,54.77,86,98,18.21,overcast clouds
106,Vila,PT,42.03,-8.16,53.01,78,76,3.0,broken clouds
107,Jamestown,US,42.1,-79.24,41.0,64,75,12.75,broken clouds
108,Iqaluit,CA,63.75,-68.51,14.0,78,75,21.92,light snow
109,Ulladulla,AU,-35.35,150.47,80.6,44,100,9.17,overcast clouds
