City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Maceio,BR,84.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
448,San Rafael Del Sur,NI,87.8,few clouds,11.85,-86.44,Hospedaje El Chino
449,Voi,KE,73.96,light rain,-3.39,38.56,Voi Wildlife Lodge
451,Sri Aman,MY,73.4,overcast clouds,1.24,111.46,Seri Simanggang Hotel
452,Viedma,AR,82.0,scattered clouds,-40.81,-63.0,Hotel Cristal
453,Nhulunbuy,AU,77.0,scattered clouds,-12.23,136.77,East Arnhem Real Estate
454,Sao Filipe,CV,75.7,overcast clouds,14.9,-24.5,Tortuga B&B
459,Rocha,UY,79.84,broken clouds,-34.48,-54.33,Beleza Pura B&B
477,Rundu,NA,72.41,light rain,-17.93,19.77,Millennia Estate
478,Mareeba,AU,75.2,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
479,Yulara,AU,84.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
481,Nampula,MZ,80.6,broken clouds,-15.12,39.27,Tacab Residencial
485,Kawalu,ID,72.36,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
486,Hambantota,LK,73.4,few clouds,6.12,81.12,Bungalow 63
487,Mombasa,KE,80.6,broken clouds,-4.05,39.66,New Palm Tree Hotel
491,Nabire,ID,77.31,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
493,Doha,QA,77.0,clear sky,25.29,51.53,Doha Marriott Hotel
494,Wanning,CN,70.11,overcast clouds,18.8,110.4,Paradise Hotel
496,Grand Gaube,MU,73.99,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
499,Hukuntsi,BW,78.39,overcast clouds,-24.0,21.75,Entabeni Hotel
504,Kavaratti,IN,82.17,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
512,Okahandja,NA,78.8,overcast clouds,-21.98,16.92,Sylvanette Guesthouse
516,Paita,PE,78.8,clear sky,-5.09,-81.11,Hotel Náutico de Paita
518,Vila Do Maio,CV,77.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
520,Buala,SB,81.5,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
525,Novo Aripuana,BR,87.03,overcast clouds,-5.12,-60.38,Hotel Ypê
526,Choix,MX,83.93,overcast clouds,26.71,-108.32,Hotel Montesclaros
527,Kapoeta,SS,82.74,clear sky,4.77,33.59,Eastgate Hotel
529,Gobabis,NA,80.6,scattered clouds,-22.45,18.97,Goba Lodge
538,Wagga Wagga,AU,78.8,overcast clouds,-35.12,147.37,The Club Motel and Apartments
539,Tagusao,PH,79.48,overcast clouds,9.19,117.81,Toledo
541,Tomatlan,MX,89.82,clear sky,19.93,-105.25,Norma franco
543,Anito,PH,78.24,overcast clouds,12.45,125.29,The Yellow House
546,Langsa,ID,75.07,heavy intensity rain,4.47,97.97,OYO 2964 Hotel Ridho
548,Barinas,VE,78.04,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
552,Adiake,CI,80.6,broken clouds,5.29,-3.3,Hotel Lagune
559,Flinders,AU,84.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
562,Tibati,CM,77.07,overcast clouds,6.47,12.63,Tibati Hotel
564,Chinchani,IN,79.61,scattered clouds,19.87,72.7,Vasantshrushti Farm
568,Oranjestad,AW,84.2,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
574,Marsh Harbour,BS,75.47,few clouds,26.54,-77.06,Abaco Beach Resort
576,Guayaramerin,BO,87.8,shower rain,-10.84,-65.36,Hostal FÜNF
586,Makakilo City,US,75.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
587,Urambo,TZ,74.39,broken clouds,-5.07,32.05,Fair Lodge
589,Port Keats,AU,82.47,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
600,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
612,Kota Tinggi,MY,78.8,few clouds,1.74,103.9,Canopy Tribe
613,Huarmey,PE,73.31,few clouds,-10.07,-78.15,Hotel Miramar
620,Banda Aceh,ID,77.81,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
624,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
626,Valledupar,CO,86.74,light rain,10.46,-73.25,Hotel Arawak Upar
631,Lucea,JM,82.99,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
632,San Policarpo,PH,80.67,broken clouds,12.18,125.51,JM Lodge
634,Sawang Daen Din,TH,71.01,clear sky,17.48,103.46,บ้านเจเน็ต คอมพิวเตอร์
639,Sal Rei,CV,77.0,broken clouds,16.18,-22.92,Marine Club Beach Resort
640,Mayumba,GA,76.62,scattered clouds,-3.43,10.66,LIKWALE LODGE
644,Necochea,AR,73.0,light rain,-38.55,-58.74,dyd -mar Hotel
653,Victoria Point,AU,72.0,clear sky,-27.58,153.3,Bay Retreat Motel
659,Wukari,NG,81.09,clear sky,7.85,9.78,Elimtop
660,Mogadishu,SO,80.56,clear sky,2.04,45.34,Hotel Juba
662,Cockburn Town,TC,80.6,few clouds,21.46,-71.14,Osprey Beach Hotel
666,Kulhudhuffushi,MV,82.4,overcast clouds,6.62,73.07,Haajy Guest House 1
668,Manado,ID,75.2,scattered clouds,1.49,124.85,Aryaduta Hotel
669,Cabo Rojo,PR,84.99,few clouds,18.09,-67.15,Hotel Perichi's
670,Rantauprapat,ID,75.04,overcast clouds,2.1,99.83,Permata Land Hotel & Resort
677,Mangrol,IN,74.64,clear sky,21.12,70.12,Hotel The Royal Honours
678,Makokou,GA,71.85,overcast clouds,0.57,12.86,WAMY RESIDENCE HOTEL
679,San Marcos,US,71.01,clear sky,33.14,-117.17,Hampton Inn San Marcos
680,Calama,CL,77.0,clear sky,-22.47,-68.93,Park Hotel Calama
681,Thabazimbi,ZA,71.01,clear sky,-24.59,27.41,eagels rest
685,Martapura,ID,78.8,thunderstorm,-3.42,114.85,Montana Hotel Syariah
688,Bom Jesus,BR,86.85,overcast clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
